CPU Name,Cores,CPU Mark,Thread Mark,TDP (W),Socket,Category
Intel Core i7-13700KF,16,"45,707","4,333",125,FCLGA1700,Desktop
Intel Core i7-13700T,16,"27,813","3,810",35,FCLGA1700,Desktop
Intel Core i7-13700TE,16,"22,026","3,266",35,FCLGA1700,Laptop
Intel Core i7-13705H,14,"25,356","3,514",45,FCBGA1792,Laptop
Intel Core i7-1370P,14,"20,026","3,520",28,FCBGA1744,Laptop
Intel Core i7-1370PE,14,"21,920","3,083",28,FCBGA1744,Mobile/Embedded
Intel Core i7-1370PRE,14,"19,159","2,805",28,FCBGA1744,Mobile/Embedded
Intel Core i7-13790F,16,"42,202","4,211",65,FCLGA1700,Desktop
Intel Core i7-13800H,14,"26,341","3,522",45,FCBGA1744,Laptop
Intel Core i7-13800HRE,14,"19,884","2,957",45,FCBGA1744,Mobile/Embedded
Intel Core i7-13850HX,20,"36,468","3,743",55,FCBGA1964,Laptop
Intel Core i7-14650HX,16,"34,343","3,859",55,FCBGA1964,Laptop
Intel Core i7-14700,20,"40,879","4,247",65,FCLGA1700,Desktop
Intel Core i7-14700F,20,"41,464","4,255",65,FCLGA1700,Desktop
Intel Core i7-14700HX,20,"37,093","3,981",55,FCBGA1964,Laptop
Intel Core i7-14700K,20,"52,163","4,462",125,FCLGA1700,Desktop
Intel Core i7-14700KF,20,"52,246","4,471",125,FCLGA1700,Desktop
Intel Core i7-14700T,20,"31,492","3,940",35,FCLGA1700,Desktop
Intel Core i7-14701E,8,"26,146","4,289",65,FCLGA1700,Mobile/Embedded
Intel Core i7-14701TE,8,"27,519","4,252",45,FCLGA1700,Mobile/Embedded
Intel Core i7-14790F,16,"41,012","4,388",65,Unknown,Desktop
Intel Core i7-2600 @ 3.40GHz,4,"5,345","1,734",95,LGA1155,Desktop
Intel Core i7-2600K @ 3.40GHz,4,"5,483","1,741",95,LGA1155,Desktop
Intel Core i7-2600S @ 2.80GHz,4,"4,639","1,721",65,LGA1155,Desktop
Intel Core i7-2610UE @ 1.50GHz,2,"1,527","1,051",17,BGA1023,Laptop
Intel Core i7-2617M @ 1.50GHz,2,"1,687","1,092",17,BGA1023,Laptop
Intel Core i7-2620M @ 2.70GHz,2,"2,426","1,456",35,BGA1023,Laptop
Intel Core i7-2630QM @ 2.00GHz,4,"3,553","1,218",45,PGA988B,Laptop
Intel Core i7-2630UM @ 1.60GHz,2,400,221,NA,Unknown,Laptop
Intel Core i7-2635QM @ 2.00GHz,4,"3,476","1,218",45,BGA1224,Laptop
Intel Core i7-2637M @ 1.70GHz,2,"1,903","1,155",17,BGA1023,Laptop
Intel Core i7-2640M @ 2.80GHz,2,"2,446","1,484",35,BGA1023,Laptop
Intel Core i7-2655LE @ 2.20GHz,2,"1,999","1,231",25,BGA1023,Desktop
Intel Core i7-2670QM @ 2.20GHz,4,"3,742","1,305",45,PGA988B,Laptop
Intel Core i7-2675QM @ 2.20GHz,4,"3,913","1,319",45,BGA1224,Laptop
Intel Core i7-2677M @ 1.80GHz,2,"1,875","1,226",17,BGA1023,Laptop
Intel Core i7-2700K @ 3.50GHz,4,"5,692","1,810",95,LGA1155,Desktop
Intel Core i7-2710QE @ 2.10GHz,4,"3,749","1,205",45,PGA988B,Laptop
Intel Core i7-2715QE @ 2.10GHz,4,"3,221","1,287",45,BGA1023,Laptop
Intel Core i7-2720QM @ 2.20GHz,4,"4,023","1,372",45,BGA1224,Laptop
Intel Core i7-2760QM @ 2.40GHz,4,"4,308","1,516",45,BGA1224,Laptop
Intel Core i7-2820QM @ 2.30GHz,4,"4,373","1,495",45,BGA1224,Laptop
Intel Core i7-2840QM @ 2.40GHz,4,"3,842","1,493",NA,rPGA988B,Laptop
Intel Core i7-2860QM @ 2.50GHz,4,"4,590","1,570",45,BGA1224,Laptop
Intel Core i7-2920XM @ 2.50GHz,4,"4,336","1,457",55,FCPGA988,Laptop
Intel Core i7-2960XM @ 2.70GHz,4,"4,646","1,578",55,PGA988B,Laptop
Intel Core i7-3517U @ 1.90GHz,2,"2,110","1,331",17,BGA1023,Laptop
Intel Core i7-3517UE @ 1.70GHz,2,"2,384","1,433",17,BGA1023,Laptop
Intel Core i7-3520M @ 2.90GHz,2,"2,841","1,720",35,BGA1023,Laptop
Intel Core i7-3537U @ 2.00GHz,2,"2,352","1,437",17,BGA1023,Laptop
Intel Core i7-3540M @ 3.00GHz,2,"2,984","1,792",35,rPGA988B,Laptop
Intel Core i7-3555LE @ 2.50GHz,2,"2,238","1,336",25,BGA1023,Laptop
Intel Core i7-3610QE @ 2.30GHz,4,"5,333","1,675",45,rPGA988B,Laptop
Intel Core i7-3610QM @ 2.30GHz,4,"5,139","1,665",45,PGA988B,Laptop
Intel Core i7-3612QE @ 2.10GHz,4,"4,929","1,678",35,BGA1224,Laptop
Intel Core i7-3612QM @ 2.10GHz,4,"4,665","1,539",35,"PGA988B, FCBGA12",Laptop
Intel Core i7-3615QE @ 2.30GHz,4,"5,617","1,782",45,BGA1224,Laptop
Intel Core i7-3615QM @ 2.30GHz,4,"5,167","1,703",45,BGA1224,Laptop
Intel Core i7-3630QM @ 2.40GHz,4,"5,125","1,687",45,rPGA988B,Laptop
Intel Core i7-3632QM @ 2.20GHz,4,"4,758","1,588",35,rPGA988B,Laptop
Intel Core i7-3635QM @ 2.40GHz,4,"4,770","1,687",45,Unknown,Laptop
Intel Core i7-3667U @ 2.00GHz,2,"2,447","1,478",17,BGA1023,Laptop
Intel Core i7-3687U @ 2.10GHz,2,"2,626","1,583",17,BGA1023,Laptop
Intel Core i7-3689Y @ 1.50GHz,2,"1,967","1,209",13,FCBGA1023,Laptop
Intel Core i7-3720QM @ 2.60GHz,4,"5,584","1,839",45,BGA1224,Laptop
Intel Core i7-3740QM @ 2.70GHz,4,"5,707","1,885",45,rPGA988B,Laptop
Intel Core i7-3770 @ 3.40GHz,4,"6,416","2,072",77,LGA1155,Desktop
Intel Core i7-3770K @ 3.50GHz,4,"6,497","2,073",77,LGA1155,Desktop
Intel Core i7-3770S @ 3.10GHz,4,"6,169","2,040",65,LGA1155,Desktop
Intel Core i7-3770T @ 2.50GHz,4,"5,403","1,806",45,LGA1155,Desktop
Intel Core i7-3820 @ 3.60GHz,4,"5,791","1,742",130,LGA2011,Desktop
Intel Core i7-3820QM @ 2.70GHz,4,"5,609","1,857",45,BGA1224,Laptop
Intel Core i7-3840QM @ 2.80GHz,4,"5,850","1,916",45,rPGA988B,Laptop
Intel Core i7-3920XM @ 2.90GHz,4,"5,713","1,934",55,FCPGA988,Laptop
Intel Core i7-3930K @ 3.20GHz,6,"8,210","1,740",130,LGA2011,Desktop
Intel Core i7-3940XM @ 3.00GHz,4,"5,978","1,962",55,rPGA988B,Laptop
Intel Core i7-3960X @ 3.30GHz,6,"8,407","1,773",130,LGA2011,Desktop
Intel Core i7-3970X @ 3.50GHz,6,"8,578","1,844",150,LGA2011,Desktop
Intel Core i7-4500U @ 1.80GHz,2,"2,489","1,484",15,BGA1168,Laptop
Intel Core i7-4510U @ 2.00GHz,2,"2,637","1,563",15,FCBGA1168,Laptop
Intel Core i7-4550U @ 1.50GHz,2,"2,307","1,305",15,BGA1168,Laptop
Intel Core i7-4558U @ 2.80GHz,2,"2,973","1,800",28,BGA1168,Laptop
Intel Core i7-4560U @ 1.60GHz,2,"2,473","1,305",NA,Unknown,Laptop
Intel Core i7-4578U @ 3.00GHz,2,"3,075","1,926",28,FCBGA1168,Laptop
Intel Core i7-4600M @ 2.90GHz,2,"3,215","1,865",37,PGA946,Laptop
Intel Core i7-4600U @ 2.10GHz,2,"2,712","1,635",15,FCBGA1168,Laptop
Intel Core i7-4610M @ 3.00GHz,2,"3,267","1,903",37,"FPGA946,FPGA947",Laptop
Intel Core i7-4610Y @ 1.70GHz,2,"2,446","1,583",11.5,BGA1168,Desktop
Intel Core i7-4650U @ 1.70GHz,2,"2,464","1,578",15,BGA1168,Laptop
Intel Core i7-4700EQ @ 2.40GHz,4,"5,417","1,765",47,FCBGA1364,Desktop
Intel Core i7-4700HQ @ 2.40GHz,4,"5,577","1,775",47,FCBGA1364,Laptop
Intel Core i7-4700MQ @ 2.40GHz,4,"5,351","1,760",47,rPGA946B,Laptop
Intel Core i7-4702HQ @ 2.20GHz,4,"5,414","1,670",37,FCBGA1364,Laptop
Intel Core i7-4702MQ @ 2.20GHz,4,"5,188","1,698",37,FCPGA946,Laptop
Intel Core i7-4710HQ @ 2.50GHz,4,"5,552","1,783",47,FCBGA1364,Laptop
Intel Core i7-4710MQ @ 2.50GHz,4,"5,800","1,883",47,FCPGA946,Laptop
Intel Core i7-4712HQ @ 2.30GHz,4,"5,353","1,725",37,FCBGA1364,Laptop
Intel Core i7-4712MQ @ 2.30GHz,4,"5,338","1,794",37,FCPGA946,Laptop
Intel Core i7-4720HQ @ 2.60GHz,4,"5,720","1,853",47,BGA1364,Laptop
Intel Core i7-4722HQ @ 2.40GHz,4,"5,768","1,858",37,FCBGA1364,Laptop
Intel Core i7-4750HQ @ 2.00GHz,4,"5,641","1,741",47,FCBGA1364,Laptop
Intel Core i7-4760HQ @ 2.10GHz,4,"6,300","1,944",47,FCBGA1364,Laptop
Intel Core i7-4765T @ 2.00GHz,4,"5,042","1,619",35,FCLGA1150,Desktop
Intel Core i7-4770 @ 3.40GHz,4,"7,060","2,171",84,LGA1150,Desktop
Intel Core i7-4770HQ @ 2.20GHz,4,"6,022","1,905",47,FCBGA1364,Laptop
Intel Core i7-4770K @ 3.50GHz,4,"7,147","2,158",84,LGA1150,Desktop
Intel Core i7-4770R @ 3.20GHz,4,"6,561","2,157",65,FCBGA1364,Desktop
Intel Core i7-4770S @ 3.10GHz,4,"6,745","2,116",65,LGA1150,Desktop
Intel Core i7-4770T @ 2.50GHz,4,"5,854","1,924",45,LGA1150,Desktop
Intel Core i7-4770TE @ 2.30GHz,4,"4,983","1,670",45,LGA1150,Desktop
Intel Core i7-4771 @ 3.50GHz,4,"7,147","2,196",84,LGA1150,Desktop
Intel Core i7-4785T @ 2.20GHz,4,"5,491","1,764",35,FCLGA1150,Desktop
Intel Core i7-4790 @ 3.60GHz,4,"7,258","2,227",84,FCLGA1150,Desktop
Intel Core i7-4790K @ 4.00GHz,4,"8,062","2,464",88,LGA1150,Desktop
Intel Core i7-4790S @ 3.20GHz,4,"6,970","2,188",65,LGA1150,Desktop
Intel Core i7-4790T @ 2.70GHz,4,"6,315","2,093",45,LGA1150,Desktop
Intel Core i7-4800MQ @ 2.70GHz,4,"5,784","1,922",47,rPGA946B,Laptop
Intel Core i7-4810MQ @ 2.80GHz,4,"6,055","2,022",47,FCPGA946,Laptop
Intel Core i7-4820K @ 3.70GHz,4,"6,511","1,960",130,FCLGA2011,Desktop
Intel Core i7-4850HQ @ 2.30GHz,4,"6,138","1,942",47,FCBGA1364,Laptop
Intel Core i7-4860EQ @ 1.80GHz,4,"5,508","1,644",47,FCBGA1364,Laptop
Intel Core i7-4860HQ @ 2.40GHz,4,"6,232","1,891",47,FCBGA1364,Laptop
Intel Core i7-4870HQ @ 2.50GHz,4,"6,316","2,051",47,FCBGA1364,Laptop
Intel Core i7-4900MQ @ 2.80GHz,4,"6,177","2,011",47,FCPGA946,Laptop
Intel Core i7-4910MQ @ 2.90GHz,4,"6,269","2,040",47,FCPGA946,Laptop
Intel Core i7-4930K @ 3.40GHz,6,"9,383","1,959",130,LGA2011,Desktop
Intel Core i7-4930MX @ 3.00GHz,4,"6,391","2,050",57,FCPGA946,Laptop
Intel Core i7-4940MX @ 3.10GHz,4,"6,780","2,177",57,"FPGA946,FPGA947",Laptop
Intel Core i7-4960HQ @ 2.60GHz,4,"6,370","2,089",47,FCBGA1364,Laptop
Intel Core i7-4960X @ 3.60GHz,6,"9,950","2,055",130,LGA2011,Desktop
Intel Core i7-4980HQ @ 2.80GHz,4,"6,535","2,176",47,FCBGA1364,Laptop
Intel Core i7-5500U @ 2.40GHz,2,"2,806","1,653",15,FCBGA1168,Laptop
Intel Core i7-5550U @ 2.00GHz,2,"2,780","1,625",15,FCBGA1168,Laptop
Intel Core i7-5557U @ 3.10GHz,2,"3,160","1,928",28,FCBGA1168,Laptop
Intel Core i7-5600U @ 2.60GHz,2,"3,008","1,754",15,FCBGA1168,Laptop
Intel Core i7-5650U @ 2.20GHz,2,"3,004","1,888",15,FCBGA1168,Laptop
Intel Core i7-5675C @ 3.10GHz,4,"6,089","2,249",65,LGA1150,Desktop
Intel Core i7-5700EQ @ 2.60GHz,4,"5,803","2,092",47,FCBGA1364,Laptop
Intel Core i7-5700HQ @ 2.70GHz,4,"6,043","2,025",47,FCBGA1364,Laptop
Intel Core i7-5775C @ 3.30GHz,4,"7,712","2,281",65,FCLGA1150,Desktop
Intel Core i7-5775R @ 3.30GHz,4,"7,619","2,284",65,LGA1150,Desktop
Intel Core i7-5820K @ 3.30GHz,6,"9,828","1,989",140,LGA2011-v3,Desktop
Intel Core i7-5850EQ @ 2.70GHz,4,"7,036","2,119",47,FCBGA1364,Laptop
Intel Core i7-5850HQ @ 2.70GHz,4,"6,866","2,219",47,FCBGA1364,Laptop
Intel Core i7-5930K @ 3.50GHz,6,"10,368","2,057",140,LGA2011-v3,Desktop
Intel Core i7-5950HQ @ 2.90GHz,4,"7,667","2,312",47,FCBGA1364,Laptop
Intel Core i7-5960X @ 3.00GHz,8,"13,661","2,107",140,LGA2011-v3,Desktop
[Dual CPU] Intel Core i7-5960X @ 3.50GHz,8,"20,781","1,663",140,FCLGA2011,Desktop
Intel Core i7-610E @ 2.53GHz,2,"2,071","1,420",35,BGA1288,Laptop
Intel Core i7-620LM @ 2.00GHz,2,"1,467","1,037",25,rPGA988A,Laptop
Intel Core i7-620M @ 2.67GHz,2,"1,979","1,278",35,BGA1288,Laptop
Intel Core i7-620UM @ 1.07GHz,2,"1,091",859,18,BGA1288,Laptop
Intel Core i7-640LM @ 2.13GHz,2,"1,529","1,049",25,BGA1288,Laptop
Intel Core i7-640M @ 2.80GHz,2,"2,094","1,370",35,BGA1288,Laptop
Intel Core i7-640UM @ 1.20GHz,2,"1,168",841,18,BGA1288,Laptop
Intel Core i7-6498DU @ 2.50GHz,2,"3,372","1,788",15,BGA1356,Laptop
Intel Core i7-6500U @ 2.50GHz,2,"3,275","1,686",15,FCBGA1356,Laptop
Intel Core i7-6560U @ 2.20GHz,2,"3,346","1,678",15,Unknown,Laptop
Intel Core i7-6567U @ 3.30GHz,2,"3,680","2,082",28,FCBGA1356,Laptop
Intel Core i7-6600U @ 2.60GHz,2,"3,405","1,771",15,FCBGA1356,Laptop
Intel Core i7-660UM @ 1.33GHz,2,"1,279",942,18,BGA1288,Laptop
Intel Core i7-6650U @ 2.20GHz,2,"3,558","1,786",15,FCBGA1356,Laptop
Intel Core i7-6660U @ 2.40GHz,2,"3,636","1,947",15,FCBGA1356,Laptop
Intel Core i7-6700 @ 3.40GHz,4,"8,037","2,275",65,LGA 1151,Desktop
Intel Core i7-6700HQ @ 2.60GHz,4,"6,522","1,914",45,FCBGA1440,Laptop
Intel Core i7-6700K @ 4.00GHz,4,"8,933","2,497",95,LGA1151,Desktop
Intel Core i7-6700T @ 2.80GHz,4,"6,989","2,013",35,LGA 1151,Desktop
Intel Core i7-6700TE @ 2.40GHz,4,"6,203","2,043",35,LGA 1151,Desktop
Intel Core i7-6770HQ @ 2.60GHz,4,"7,055","1,929",45,FCBGA1440,Laptop
Intel Core i7-6800K @ 3.40GHz,6,"10,714","2,256",140,LGA2011-v3,Desktop
Intel Core i7-680UM @ 1.47GHz,2,"1,196",911,18,BGA1288,Laptop
Intel Core i7-6820EQ @ 2.80GHz,4,"7,025","1,988",45,FCBGA1440,Laptop
Intel Core i7-6820HK @ 2.70GHz,4,"7,017","1,979",45,FCBGA1440,Laptop
Intel Core i7-6820HQ @ 2.70GHz,4,"6,757","1,932",45,FCBGA1440,Laptop
Intel Core i7-6822EQ @ 2.00GHz,4,"5,550","1,619",25,LGA 1151,Laptop
Intel Core i7-6850K @ 3.60GHz,6,"11,367","2,387",140,FCLGA2011-3,Desktop
Intel Core i7-6900K @ 3.20GHz,8,"14,670","2,345",140,FCLGA2011-3,Desktop
Intel Core i7-6920HQ @ 2.90GHz,4,"7,258","2,064",45,FCBGA1440,Laptop
Intel Core i7-6950X @ 3.00GHz,10,"17,580","2,333",140,LGA2011-v3,Desktop
Intel Core i7-6970HQ @ 2.80GHz,4,"4,632","1,532",45,FCBGA1440,Laptop
Intel Core i7-720QM @ 1.60GHz,4,"1,673",925,45,PGA988A,Laptop
Intel Core i7-740QM @ 1.73GHz,4,"1,846","1,012",45,PGA988A,Laptop
Intel Core i7-7500U @ 2.70GHz,2,"3,633","1,902",15,FCBGA1356,Laptop
Intel Core i7-7560U @ 2.40GHz,2,"3,796","1,994",15,BGA1356,Laptop
Intel Core i7-7567U @ 3.50GHz,2,"4,102","2,193",28,BGA1356,Laptop
Intel Core i7-7600U @ 2.80GHz,2,"3,690","1,987",15,FCBGA1356,Laptop
Intel Core i7-7660U @ 2.50GHz,2,"4,050","2,138",15,BGA1356,Laptop
Intel Core i7-7700 @ 3.60GHz,4,"8,636","2,441",65,LGA1151,Desktop
Intel Core i7-7700HQ @ 2.80GHz,4,"6,880","2,045",45,FCBGA1440,Laptop
Intel Core i7-7700K @ 4.20GHz,4,"9,629","2,704",95,LGA 1151,Desktop
Intel Core i7-7700T @ 2.90GHz,4,"7,513","2,121",35,FCLGA1151,Desktop
Intel Core i7-7740X @ 4.30GHz,4,"9,676","2,700",112,FCLGA2066,Desktop
Intel Core i7-7800X @ 3.50GHz,6,"12,959","2,376",140,FCLGA2066,Desktop
Intel Core i7-7820EQ @ 3.00GHz,4,"7,061","1,972",45,FCBGA1440,Laptop
Intel Core i7-7820HK @ 2.90GHz,4,"7,397","2,108",45,FCBGA1440,Laptop
Intel Core i7-7820HQ @ 2.90GHz,4,"7,179","2,115",45,FCBGA1440,Laptop
Intel Core i7-7820X @ 3.60GHz,8,"17,186","2,523",140,FCLGA2066,Desktop
Intel Core i7-7900X @ 3.30GHz,10,"20,039","2,401",140,FCLGA2066,Desktop
Intel Core i7-7920HQ @ 3.10GHz,4,"7,295","2,185",45,FCBGA1440,Laptop
Intel Core i7-7Y75 @ 1.30GHz,2,"2,527","1,501",4.5,FCBGA1515,"Desktop, Laptop"
Intel Core i7-8086K @ 4.00GHz,6,"14,073","2,818",95,FCLGA1151-2,Desktop
Intel Core i7-820QM @ 1.73GHz,4,"1,819","1,038",45,PGA988A,Laptop
Intel Core i7-840QM @ 1.87GHz,4,"2,025","1,173",45,PGA988A,Laptop
Intel Core i7-8500Y @ 1.50GHz,2,"2,447","1,411",5,FCBGA1515,Laptop
Intel Core i7-8550U @ 1.80GHz,4,"5,796","2,007",15,FC-BGA1356,Laptop
Intel Core i7-8557U @ 1.70GHz,4,"7,309","2,311",15,FCBGA1528,Laptop
Intel Core i7-8559U @ 2.70GHz,4,"8,266","2,473",28,FCBGA1528,Laptop
Intel Core i7-8565U @ 1.80GHz,4,"5,973","2,108",15,FCBGA1356,Laptop
Intel Core i7-8565UC @ 1.80GHz,4,"6,187","2,527",15,FCBGA1528,Laptop
Intel Core i7-8569U @ 2.80GHz,4,"8,168","2,566",28,FCBGA1528,Laptop
Intel Core i7-860 @ 2.80GHz,4,"3,017","1,318",95,LGA1156,Desktop
Intel Core i7-860S @ 2.53GHz,4,"2,365","1,234",82,LGA1156,Desktop
Intel Core i7-8650U @ 1.90GHz,4,"6,190","2,100",15,FC-BGA1356,Laptop
Intel Core i7-8665U @ 1.90GHz,4,"6,203","2,166",15,FCBGA1528,Laptop
Intel Core i7-8665UE @ 1.70GHz,4,"4,852","1,566",15,FCBGA1528,Laptop
Intel Core i7-870 @ 2.93GHz,4,"3,169","1,385",95,LGA1156,Desktop
Intel Core i7-8700 @ 3.20GHz,6,"12,746","2,625",65,FCLGA1151-2,Desktop
Intel Core i7-8700B @ 3.20GHz,6,"11,789","2,711",65,FCBGA1440,Laptop
Intel Core i7-8700K @ 3.70GHz,6,"13,572","2,716",95,FCLGA1151-2,Desktop
Intel Core i7-8700T @ 2.40GHz,6,"10,209","2,304",35,FCLGA1151-2,Desktop
Intel Core i7-8705G @ 3.10GHz,4,"7,637","2,193",65,BGA2270,Laptop
Intel Core i7-8706G @ 3.10GHz,4,"7,504","2,304",65,BGA2270,Laptop
Intel Core i7-8709G @ 3.10GHz,4,"7,934","2,311",100,BGA2270,Laptop
Intel Core i7-870S @ 2.67GHz,4,"2,765","1,493",82,LGA1156,Desktop
Intel Core i7-8750H @ 2.20GHz,6,"9,761","2,270",45,FCBGA1440,Laptop
Intel Core i7-875K @ 2.93GHz,4,"3,170","1,350",95,LGA1156,Desktop
Intel Core i7-880 @ 3.07GHz,4,"3,429","1,462",95,LGA1156,Desktop
Intel Core i7-8809G @ 3.10GHz,4,"8,456","2,370",100,BGA2270,Laptop
Intel Core i7-8850H @ 2.60GHz,6,"10,066","2,352",45,FCBGA1440,Laptop
Intel Core i7-920 @ 2.67GHz,4,"2,867","1,212",130,LGA1366,Desktop
Intel Core i7-920XM @ 2.00GHz,4,"2,014","1,057",55,PGA988B,Laptop
Intel Core i7-930 @ 2.80GHz,4,"3,000","1,269",130,LGA1366,Desktop
Intel Core i7-940 @ 2.93GHz,4,"3,050","1,325",130,LGA1366,Desktop
Intel Core i7-940XM @ 2.13GHz,4,"2,269","1,124",55,PGA988,Laptop
Intel Core i7-950 @ 3.07GHz,4,"3,253","1,383",130,LGA1366,Desktop
Intel Core i7-960 @ 3.20GHz,4,"3,390","1,458",130,LGA1366,Desktop
Intel Core i7-965 @ 3.20GHz,4,"3,375","1,471",130,LGA1366,Desktop
Intel Core i7-970 @ 3.20GHz,6,"6,556","1,461",130,LGA1366,Desktop
Intel Core i7-9700 @ 3.00GHz,8,"13,208","2,750",65,FCLGA1151-2,Desktop
Intel Core i7-9700E @ 2.60GHz,8,"12,561","2,530",65,FCLGA1151-2,Desktop
Intel Core i7-9700F @ 3.00GHz,8,"13,165","2,737",65,FCLGA1151-2,Desktop
Intel Core i7-9700K @ 3.60GHz,8,"14,402","2,861",95,FCLGA1151-2,Desktop
Intel Core i7-9700KF @ 3.60GHz,8,"14,247","2,858",95,FCLGA1151-2,Desktop
Intel Core i7-9700T @ 2.00GHz,8,"10,603","2,423",35,FCLGA1151-2,Desktop
Intel Core i7-9700TE @ 1.80GHz,8,"9,720","2,133",35,FCLGA1151-2,"Desktop, Laptop"
Intel Core i7-975 @ 3.33GHz,4,"3,532","1,498",130,LGA1366,Desktop
Intel Core i7-9750H @ 2.60GHz,6,"10,608","2,394",45,FCBGA1440,Laptop
Intel Core i7-9750HF @ 2.60GHz,6,"10,338","2,392",45,FCBGA1440,Laptop
Intel Core i7-980 @ 3.33GHz,6,"6,890","1,542",130,LGA1366,Desktop
Intel Core i7-9800X @ 3.80GHz,8,"18,126","2,557",165,FCLGA2066,Desktop
Intel Core i7-980X @ 3.33GHz,6,"6,819","1,523",130,LGA1366,Desktop
Intel Core i7-985 @ 3.47GHz,4,"3,928","1,579",NA,LGA1366,Unknown
Intel Core i7-9850H @ 2.60GHz,6,"10,865","2,453",45,Unknown,Laptop
Intel Core i7-9850HE @ 2.70GHz,6,"9,972","2,254",45,FCBGA1440,Mobile/Embedded
Intel Core i7-9850HL @ 1.90GHz,6,"7,897","1,723",25,FCBGA1440,"Desktop, Laptop"
Intel Core i7-990X @ 3.47GHz,6,"7,135","1,577",130,LGA1366,Desktop
Intel Core i7-995X @ 3.60GHz,6,"7,862","1,718",NA,Unknown,Desktop
Intel Core i9-10850K @ 3.60GHz,10,"21,929","3,066",125,FCLGA1200,Desktop
Intel Core i9-10880H @ 2.30GHz,8,"14,240","2,771",45,FCBGA1440,Laptop
Intel Core i9-10885H @ 2.40GHz,8,"14,412","2,685",45,FCBGA1440,Laptop
Intel Core i9-10900 @ 2.80GHz,10,"19,137","2,991",65,FCLGA1200,Desktop
Intel Core i9-10900E @ 2.80GHz,10,"19,332","2,885",65,FCLGA1200,"Desktop, Mobile/Embedded"
Intel Core i9-10900F @ 2.80GHz,10,"19,792","3,030",65,FCLGA1200,Desktop
Intel Core i9-10900K @ 3.70GHz,10,"22,365","3,111",125,FCLGA1200,Desktop
Intel Core i9-10900KF @ 3.70GHz,10,"22,226","3,118",125,FCLGA1200,Desktop
Intel Core i9-10900T @ 1.90GHz,10,"14,727","2,507",35,FCLGA1200,Desktop
Intel Core i9-10900TE @ 1.80GHz,10,"14,159","2,298",35,FCLGA1200,Mobile/Embedded
Intel Core i9-10900X @ 3.70GHz,10,"22,382","2,670",165,FCLGA2066,Desktop
Intel Core i9-10910 @ 3.60GHz,10,"21,392","3,159",125,FCLGA1200,Desktop
Intel Core i9-10920X @ 3.50GHz,12,"25,853","2,708",165,FCLGA2066,Desktop
Intel Core i9-10940X @ 3.30GHz,14,"27,594","2,654",165,FCLGA2066,Desktop
Intel Core i9-10980HK @ 2.40GHz,8,"15,163","2,748",45,FCBGA1440,Laptop
Intel Core i9-10980XE @ 3.00GHz,18,"32,118","2,657",165,FCLGA2066,Desktop
Intel Core i9-11900 @ 2.50GHz,8,"22,360","3,366",65,FCLGA1200,Desktop
Intel Core i9-11900F @ 2.50GHz,8,"22,075","3,413",65,FCLGA1200,Desktop
Intel Core i9-11900H @ 2.50GHz,8,"19,984","3,092",45,FCBGA1787,Laptop
Intel Core i9-11900K @ 3.50GHz,8,"24,978","3,507",125,FCLGA1200,Desktop
Intel Core i9-11900KB @ 3.30GHz,8,"22,710","3,305",65,FCBGA1787,Desktop
Intel Core i9-11900KF @ 3.50GHz,8,"24,557","3,521",125,FCLGA1200,Desktop
Intel Core i9-11900T @ 1.50GHz,8,"18,620","3,279",35,FCLGA1200,Desktop
Intel Core i9-11950H @ 2.60GHz,8,"20,611","3,118",45,FCBGA1787,Laptop
Intel Core i9-11980HK @ 2.60GHz,8,"22,237","3,243",45,FCBGA1787,Laptop
Intel Core i9-12900,16,"33,673","4,002",65,FCLGA1700,Desktop
Intel Core i9-12900E,16,"28,170","3,673",65,FCLGA1700,Mobile/Embedded
Intel Core i9-12900F,16,"35,827","4,021",65,FCLGA1700,Desktop
Intel Core i9-12900H,14,"26,944","3,680",45,FCBGA1744,Laptop
Intel Core i9-12900HK,14,"25,457","3,547",45,FCBGA1744,Laptop
Intel Core i9-12900HX,16,"33,082","3,753",55,FCBGA1964,Laptop
Intel Core i9-12900K,16,"41,161","4,131",241,FCLGA1700,Desktop
Intel Core i9-12900KF,16,"40,812","4,137",241,FCLGA1700,Desktop
Intel Core i9-12900KS,16,"43,526","4,328",150,LGA 1700,Desktop
Intel Core i9-12900T,16,"29,143","3,754",35,FCLGA1700,Desktop
Intel Core i9-12900TE,16,"22,887","2,419",35,FCLGA1700,Mobile/Embedded
Intel Core i9-12950HX,16,"31,355","3,769",55,FCBGA1964,Laptop
Intel Core i9-13900,24,"45,107","4,311",65,FCLGA1700,Desktop
Intel Core i9-13900E,24,"40,375","3,332",65,FCLGA1700,Mobile/Embedded
Intel Core i9-13900F,24,"48,701","4,397",65,FCLGA1700,Desktop
Intel Core i9-13900H,14,"27,374","3,721",45,FCBGA1744,Laptop
Intel Core i9-13900HK,14,"26,969","3,760",45,FCBGA1744,Laptop
Intel Core i9-13900HX,24,"42,321","4,037",55,FCBGA1964,Laptop
Intel Core i9-13900K,24,"58,335","4,601",125,FCLGA1700,Desktop
Intel Core i9-13900KF,24,"57,735","4,587",125,FCLGA1700,Desktop
Intel Core i9-13900KS,24,"60,556","4,713",150,FCLGA1700,Desktop
Intel Core i9-13900T,24,"42,305","4,177",35,FCLGA1700,Desktop
Intel Core i9-13900TE,24,"20,602","2,658",35,FCLGA1700,Mobile/Embedded
