Videocard Name,G3D Mark,G2D Mark,TDP (W),VRAM (MB),Category
Intel Infoshock HD,194,393,NA,NA,Unknown
Intel Iris 5100,726,266,NA,NA,Unknown
Intel Iris 540,"1,272",318,NA,NA,Unknown
Intel Iris 550,"1,449",310,NA,NA,Unknown
Intel Iris 6100,902,308,NA,NA,Unknown
Intel Iris 650,"1,433",644,NA,NA,Unknown
Intel Iris Plus,"1,791",307,NA,NA,Unknown
Intel Iris Plus 640,"1,354",334,NA,0 MB,Mobile
Intel Iris Plus 645,"1,751",375,NA,NA,Unknown
Intel Iris Plus 650,"1,596",355,NA,0 MB,Mobile
Intel Iris Plus 655,"1,729",354,NA,NA,Unknown
Intel Iris Pro 5200,"1,168",388,NA,NA,Unknown
Intel Iris Pro 580,"1,984",360,NA,NA,Unknown
Intel Iris Pro 6100,925,548,NA,NA,Unknown
Intel Iris Pro Graphics 6200,"1,539",544,NA,NA,Unknown
Intel Iris Pro P580,"2,026",438,NA,NA,Unknown
Intel Iris Pro P6300,"1,582",568,NA,NA,Unknown
Intel Iris Xe,"2,617",390,NA,NA,Unknown
Intel Iris Xe MAX,"1,858",317,NA,NA,Unknown
Intel Iris Xe MAX 100,"1,965",431,NA,NA,Unknown
Intel Media Accelerator,33,78,NA,NA,Unknown
Intel Media Accelerator 3150,3,86,NA,NA,Unknown
Intel Media Accelerator 500,3,71,NA,NA,Unknown
Intel Media Accelerator 600,7,58,NA,NA,Unknown
Intel Media Accelerator HD,111,32,NA,NA,Unknown
Intel Poison Ivy,739,783,NA,NA,Unknown
Intel Q33 Express,7,16,NA,NA,Unknown
Intel Q35 Embedded,8,303,NA,NA,Unknown
Intel Q35 Express,59,16,NA,NA,Unknown
Intel Q45/Q43 Express Chipset,201,14,NA,NA,Unknown
Intel Q45/Q43 Express-Chipsatz,57,352,NA,NA,Unknown
Intel Q965/Q963 Express,119,27,NA,NA,Unknown
Intel Skylake HD DT GT2,577,402,NA,NA,Unknown
Intel UHD 630,615,166,NA,NA,Desktop
Intel UHD 770,790,359,NA,NA,Desktop
Intel UHD 770#0x1c005d839205d7e9#,"1,759",489,NA,NA,Desktop
Intel UHD Graphics,"1,514",307,NA,NA,Unknown
Intel UHD Graphics 600,312,90,NA,NA,Unknown
Intel UHD Graphics 605,365,105,NA,NA,Unknown
Intel UHD Graphics 610,687,171,NA,NA,Unknown
Intel UHD Graphics 615,719,170,NA,NA,Unknown
Intel UHD Graphics 617,815,216,NA,NA,Unknown
Intel UHD Graphics 620,"1,042",237,15,0 MB,Desktop
Intel UHD Graphics 630,"1,229",295,NA,NA,Unknown
Intel UHD Graphics 710,"1,049",319,NA,NA,Unknown
Intel UHD Graphics 730,"1,539",422,NA,NA,Unknown
Intel UHD Graphics 750,"1,699",373,NA,NA,Unknown
Intel UHD Graphics 770,"1,912",549,NA,NA,Unknown
Intel UHD Graphics P630,"1,798",317,NA,NA,Unknown
Intel UHD Graphics P750,"1,669",437,NA,NA,Unknown
Intel US15 Embedded Media and Controller,7,67,NA,NA,Unknown
ION,109,16,NA,NA,Unknown
ION LE,98,96,NA,NA,Unknown
L2,"5,467",88,NA,NA,Desktop
L4,"10,153",411,NA,NA,Unknown
L4-12Q,"3,544",88,NA,NA,Desktop
L4-1B,"1,264",60,NA,NA,Desktop
L4-1Q,259,84,NA,NA,Desktop
L4-24Q,"4,767",98,NA,NA,Desktop
L4-2A,"3,063",64,NA,NA,Desktop
L4-2B,"1,675",51,NA,NA,Desktop
L4-2Q,"4,062",62,NA,NA,Desktop
L4-4Q,"4,942",96,NA,NA,Desktop
L4-6Q,"4,473",71,NA,NA,Desktop
L4-8Q,"7,114",346,NA,NA,Desktop
L40-48Q,"33,270","1,371",NA,NA,Desktop
L40-4Q,"32,601","1,389",NA,NA,Desktop
L40-6Q,"4,718",94,NA,NA,Desktop
L40-8Q,"11,670",463,NA,NA,Desktop
L40S,"20,023",708,NA,NA,Unknown
L40S-12A,"3,660",79,NA,NA,Desktop
L40S-12Q,"4,426",77,NA,NA,Desktop
L40S-1Q,"2,046",64,NA,NA,Desktop
L40S-24Q,"3,257",69,NA,NA,Desktop
L40S-48Q,"3,869",78,NA,NA,Desktop
L40S-4Q,"4,961",100,NA,NA,Desktop
L40S-8Q,"5,414",167,NA,NA,Desktop
Lebo Virtual USB Monitor,"1,790",398,NA,NA,Unknown
LuminonCore IDDCX Adapter,"6,479",344,NA,NA,Unknown
M860G with Mobility Radeon 4100,76,203,NA,NA,Unknown
M880G with Mobility Radeon HD 4200,93,260,NA,NA,Unknown
M880G with Mobility Radeon HD 4225,72,183,NA,NA,Unknown
M880G with Mobility Radeon HD 4250,104,270,NA,NA,Unknown
MacroSilicon USB Display Ryzen 7 6800U,"3,940",475,NA,NA,Desktop
Master X3100 Driver,10,79,NA,NA,Unknown
Matrox C420 LP PCIe x16,597,359,NA,NA,Unknown
Matrox C680 PCIe x16,"1,803",685,NA,NA,Unknown
Matrox C900 PCIe x16,"1,812",761,NA,NA,Unknown
Matrox G200e WDDM 1.2,59,505,NA,NA,Unknown
Matrox G200e WDDM 2.0,101,289,NA,NA,Unknown
Matrox G200eh,41,449,NA,NA,Unknown
Matrox G200eh WDDM 1.2,52,448,NA,NA,Unknown
Matrox G200eh WDDM 2.0,55,79,NA,NA,Unknown
Matrox G200eR,37,400,NA,NA,Unknown
Matrox G200eR WDDM 1.2,45,210,NA,NA,Unknown
Matrox G200eR WDDM 2.0,68,457,NA,NA,Unknown
Matrox G200eW,40,107,NA,NA,Unknown
Matrox G200eW WDDM 1.2,50,397,NA,NA,Unknown
Matrox G200eW3 WDDM 2.0,90,242,NA,NA,Unknown
Matrox LUMA A310,"3,690",506,NA,NA,Unknown
Matrox LUMA A310F,"3,873",493,NA,NA,Unknown
Matrox LUMA A310FP,"3,093",504,NA,NA,Unknown
Matrox LUMA A380P,"5,811",598,NA,NA,Unknown
Matrox M9120 PCIe x16,20,870,NA,NA,Unknown
Matrox M9120 Plus LP PCIe x16,26,27,NA,NA,Unknown
Matrox M9125 PCIe x16,26,138,NA,NA,Unknown
Matrox M9128 LP PCIe x16,32,38,NA,NA,Unknown
Matrox M9138 LP PCIe x16,433,211,NA,NA,Unknown
Matrox M9140 LP PCIe x16,23,390,NA,NA,Unknown
Matrox M9148 LP PCIe x16,40,98,NA,NA,Unknown
Matrox M9188 ATX PCIe x16,46,25,NA,NA,Unknown
Matrox Millennium P650 PCIe 128,5,287,NA,NA,Unknown
Matrox Millennium P690 PCIe x16,367,295,NA,NA,Unknown
Matrox Millennium P690 Plus LP PCIe x16,7,251,NA,NA,Unknown
Matrox Parhelia 128MB,3,107,NA,NA,Unknown
Matrox Parhelia 256MB,9,140,NA,NA,Unknown
Matrox Parhelia APVe,6,275,NA,NA,Unknown
MCT USB3.0 External Device,520,129,NA,NA,Unknown
MEDION RADEON 9800 XXL,72,187,NA,NA,Unknown
MEDION RADEON X740XL,95,228,NA,NA,Unknown
Meta Virtual Monitor,"22,804","1,171",NA,NA,Unknown
Meta Virtual Monitor Ryzen 5 5500U,"2,423",573,NA,NA,Desktop
Meta Virtual Monitor Ryzen 5 5625U,"1,009",440,NA,NA,Desktop
Meta Virtual Monitor Ryzen 5 7600X 6-Core,"1,854",570,NA,NA,Desktop
Meta Virtual Monitor Ryzen 7 5700U,"2,236",610,NA,NA,Desktop
Meta Virtual Monitor Ryzen 9 6900HX,"5,369",727,NA,NA,Desktop
Mi Pad 5 Adreno 640 GPU,659,192,NA,NA,Unknown
Microsoft Basic Display Adapter Ryzen 5 3550H,"3,537",63,NA,NA,Unknown
Microsoft Basic Display Adapter Ryzen 5 5600G,302,125,NA,NA,Unknown
Microsoft Basic Display Adapter Ryzen 7 7730U,292,56,NA,NA,Desktop
Miracast display port driver V3,"8,422",455,NA,NA,Unknown
Mirage Driver,"1,261",225,NA,NA,Unknown
MirrorOp Virtual Adaptor,"3,724",767,NA,NA,Unknown
MirrorOp Virtual Adaptor Ryzen 5 7530U,"1,559",548,NA,NA,Desktop
MirrorOp Virtual Adaptor Ryzen 5 PRO 6650U,"2,542",592,NA,NA,Desktop
MirrorOp Virtual Adaptor Ryzen 5 Pro 7535U,"2,430",610,NA,NA,Desktop
MirrorOp Virtual Adaptor Ryzen 7 7730U,"2,266",615,NA,NA,Desktop
MirrorOp Virtual Adaptor Ryzen 7 PRO 5850U,"1,860",526,NA,NA,Desktop
MIRRORV3,"1,081",421,NA,NA,Unknown
Mobile Intel - famiglia Express Chipset 45,39,264,NA,NA,Unknown
Mobile Intel 4 Express-Chipsatzfamilie,45,251,NA,NA,Unknown
Mobile Intel 45 Express,38,20,NA,NA,Unknown
Mobile Intel 45 Express-Chipsatzfamilie,117,270,NA,NA,Unknown
Mobile Intel 915GM/GMS/910GML Express,2,32,NA,NA,Unknown
Mobile Intel 945 Express,2,7,NA,NA,Unknown
Mobile Intel 945GM Express,6,223,NA,NA,Unknown
Mobile Intel 945GM/GU Express,5,223,NA,NA,Unknown
Mobile Intel 965 Express,46,11,NA,NA,Unknown
Mobile Intel 965 Express - BR-0907-0461 v1839,8,124,NA,NA,Unknown
Mobile Intel 965 Express-Chipsatzfamilie,24,203,NA,NA,Unknown
Mobile Intel HD,245,103,NA,NA,Unknown
Mobile Intel serie 4 Express,45,232,NA,NA,Unknown
Mobile Intel965 Express,18,264,NA,NA,Unknown
MOBILITY FIREGL 7800,5,86,NA,64 MB,Workstation
MOBILITY FIREGL T2,41,171,NA,128 MB,Workstation
MOBILITY FIREGL T2/T2e,34,171,NA,128 MB,Workstation
MOBILITY FireGL V3200,62,238,NA,128 MB,Workstation
MOBILITY FireGL V5000,82,223,NA,128 MB,Workstation
MOBILITY FireGL V5200,45,248,NA,256 MB,Workstation
MOBILITY FireGL V5250,27,252,NA,512 MB,Workstation
Mobility FireGL V5725,219,405,NA,256 MB,Workstation
MOBILITY IGP 9000/9100,10,125,NA,NA,Unknown
Mobility Radeon 4100,81,265,NA,NA,Unknown
MOBILITY RADEON 7000 IGP,6,151,NA,NA,Unknown
MOBILITY RADEON 7500,4,103,NA,64 MB,Mobile
MOBILITY RADEON 9000,3,111,NA,64 MB,Mobile
MOBILITY RADEON 9000 IGP,8,143,NA,NA,Unknown
MOBILITY RADEON 9000/9100 IGP,6,118,NA,NA,Unknown
MOBILITY RADEON 9100 IGP,3,128,NA,NA,Unknown
MOBILITY RADEON 9200,3,145,NA,64 MB,Mobile
MOBILITY RADEON 9550,30,166,NA,64 MB,Mobile
MOBILITY RADEON 9600,36,172,NA,128 MB,Mobile
MOBILITY RADEON 9600 PRO TURBO,25,137,NA,NA,Unknown
MOBILITY RADEON 9600/9700,39,165,NA,128 MB,Mobile
MOBILITY RADEON 9700,27,158,NA,128 MB,Mobile
MOBILITY RADEON 9800,46,110,NA,256 MB,Mobile
Mobility Radeon HD 2300,51,211,NA,512 MB,Mobile
Mobility Radeon HD 2400,90,212,NA,256 MB,Mobile
Mobility Radeon HD 2400 XT,102,246,NA,256 MB,Mobile
Mobility Radeon HD 2600,168,267,NA,256 MB,Mobile
Mobility Radeon HD 2600 XT,192,329,NA,256 MB,Mobile
Mobility Radeon HD 3400 Serisi,111,239,NA,NA,Unknown
Mobility Radeon HD 3410,63,130,NA,512 MB,Mobile
Mobility Radeon HD 3430,98,260,NA,256 MB,Mobile
Mobility Radeon HD 3450,91,247,NA,256 MB,Mobile
Mobility Radeon HD 3470,93,250,NA,256 MB,Mobile
Mobility Radeon HD 3470 Hybrid X2,94,206,NA,NA,Unknown
Mobility Radeon HD 3650,140,31,NA,1024 MB,Mobile
Mobility Radeon HD 3670,232,331,NA,1024 MB,Mobile
Mobility Radeon HD 3850,366,248,NA,512 MB,Mobile
Mobility Radeon HD 3870,548,288,NA,512 MB,Mobile
Mobility Radeon HD 3870 X2,478,187,NA,2 MB,Mobile
Mobility Radeon HD 4200,91,260,NA,512 MB,Mobile
Mobility Radeon HD 4225,66,174,NA,512 MB,Mobile
Mobility Radeon HD 4250,98,280,NA,512 MB,Mobile
Mobility Radeon HD 4270,93,282,NA,512 MB,Mobile
Mobility Radeon HD 4300 Serisi,73,216,NA,NA,Unknown
Mobility Radeon HD 4330,135,377,NA,512 MB,Mobile
Mobility Radeon HD 4350,148,369,NA,NA,Unknown
Mobility Radeon HD 4550,191,290,NA,512 MB,Mobile
Mobility Radeon HD 4570,150,19,NA,512 MB,Mobile
Mobility Radeon HD 4650,401,320,NA,1024 MB,Mobile
Mobility Radeon HD 4670,463,375,NA,1024 MB,Mobile
Mobility Radeon HD 4830,512,285,NA,1024 MB,Mobile
Mobility Radeon HD 4850,866,472,NA,1024 MB,Mobile
Mobility Radeon HD 4870,720,416,NA,1024 MB,Mobile
Mobility Radeon HD 5000,773,429,NA,NA,Unknown
Mobility Radeon HD 5000 Serisi,479,305,NA,NA,Unknown
Mobility Radeon HD 5165,284,362,35,1024 MB,Mobile
Mobility Radeon HD 530v,175,353,NA,1024 MB,Mobile
Mobility Radeon HD 540v,188,382,NA,NA,Unknown
Mobility Radeon HD 5430,181,330,7,1024 MB,Mobile
Mobility Radeon HD 5450,214,320,11,1024 MB,Mobile
Mobility Radeon HD 545v,200,270,NA,1024 MB,Mobile
Mobility Radeon HD 5470,236,362,13,512 MB,Mobile
Mobility Radeon HD 550v,266,398,NA,1024 MB,Mobile
Mobility Radeon HD 5570,525,247,NA,NA,Unknown
Mobility Radeon HD 560v,318,366,NA,1024 MB,Mobile
Mobility Radeon HD 5650,441,150,15,1024 MB,Mobile
Mobility Radeon HD 565v,353,318,NA,1024 MB,Mobile
Mobility Radeon HD 5730,508,153,26,1024 MB,Mobile
Mobility Radeon HD 5850,763,403,31,1024 MB,Mobile
Mobility Radeon HD 5870,"1,076",222,50,1024 MB,Mobile
Mobility Radeon HD serie 4200,97,227,NA,NA,Unknown
Mobility Radeon X1300,40,222,NA,128 MB,Mobile
Mobility Radeon X1350,40,274,NA,128 MB,Mobile
Mobility Radeon X1400,43,226,NA,128 MB,Mobile
Mobility Radeon X1450,33,205,NA,128 MB,Mobile
Mobility Radeon X1600,92,236,NA,256 MB,Mobile
Mobility Radeon X1700,105,228,NA,256 MB,Mobile
MOBILITY RADEON X1800,130,247,NA,256 MB,Mobile
Mobility Radeon X1900,135,287,NA,256 MB,Mobile
Mobility Radeon X2300,48,263,NA,128 MB,Mobile
Mobility Radeon X2300 HD,49,244,NA,NA,Unknown
Mobility Radeon X2500,82,235,NA,256 MB,Mobile
MOBILITY RADEON X300,34,204,NA,128 MB,Mobile
MOBILITY RADEON X600,50,209,NA,128 MB,Mobile
MOBILITY RADEON X600 SE,49,233,NA,NA,Unknown
MOBILITY RADEON X700,67,200,NA,128 MB,Mobile
MOBILITY RADEON X700 XL,60,189,NA,NA,Unknown
MOBILITY RADEON XPRESS 200,27,176,NA,NA,Unknown
Mobility Radeon. HD 5470,215,398,13,512 MB,Mobile
MOBILITY/RADEON 9000,4,153,NA,NA,Unknown
MONSTER GeForce GTX 675M,"2,637",686,NA,NA,Mobile
Moore Threads MTT S30,580,529,NA,NA,Desktop
Moore Threads MTT S70,"1,915",490,NA,NA,Desktop
Moore Threads MTT S80,"2,513",846,NA,NA,Desktop
Moore Threads S3000 MTvGPU-1132,"1,997",315,NA,NA,Desktop
MS Idd Device,477,99,NA,NA,Desktop
mv video hook driver2,"2,312",404,NA,NA,Unknown
MxGPU,"1,282",210,NA,NA,Unknown
N16P-GX,"1,205",803,NA,NA,Unknown
N18E-Q1,"2,525",547,NA,NA,Unknown
nForce 750a SLI,83,351,NA,NA,Unknown
nForce 760i SLI,140,379,NA,NA,Unknown
nForce 780a SLI,92,425,NA,NA,Unknown
nForce 980a/780a SLI,165,128,NA,NA,Unknown
NV44,15,251,NA,NA,Unknown
NVIDIA A10,"21,687",983,NA,NA,Unknown
NVIDIA A10-4Q,"2,756",195,NA,NA,Unknown
NVIDIA A10G,"17,660",578,NA,NA,Unknown
NVIDIA A40,"13,900",489,NA,NA,Unknown
NVIDIA A40-12Q,"4,336",81,NA,NA,Unknown
NVIDIA A40-4Q,"4,407",87,NA,NA,Unknown
NVIDIA A40-8Q,"4,252",74,NA,NA,Unknown
NVIDIA GeForce3 Ti200,6,218,NA,NA,Unknown
nVidia L20,"13,430","1,397",NA,NA,Desktop
nVidia L40,"27,355","1,186",NA,NA,Unknown
NVIDIA TITAN X,"13,660",912,250,12288 MB,Desktop
NVIDIA TITAN Xp,"18,762",884,250,12288 MB,Desktop
NVS 2100M,137,116,14,512 MB,Workstation
NVS 300,121,38,17.5,512 MB,Workstation
NVS 310,282,180,19.5,512 MB,Workstation
NVS 3100M,124,33,14,512 MB,Workstation
NVS 315,338,181,19.5,1024 MB,Workstation
NVS 4200M,308,79,NA,1024 MB,Workstation
NVS 510,678,286,35,2048 MB,Workstation
NVS 5100M,200,62,35,1024 MB,Workstation
NVS 5200M,497,184,35,1024 MB,Workstation
NVS 5400M,616,185,35,2048 MB,Workstation
NVS 810,"1,190",296,NA,NA,Unknown
OPAL XT/GL,"1,053",640,NA,NA,Unknown
OrayIddDriver Device,"18,852",879,NA,NA,Unknown
OrayIddDriver Device Ryzen 5 3400G,"1,478",405,NA,NA,Desktop
P102-100,"3,301",144,NA,NA,Desktop
P104-100,"3,678",122,NA,NA,Unknown
P106-090,"2,639",103,NA,NA,Unknown
P106-100,"6,665",241,NA,NA,Unknown
Parsec Virtual Display Adapter,"21,541","1,098",NA,NA,Unknown
Parsec Virtual Display Adapter Ryzen 3 3200G,"2,018",478,NA,NA,Desktop
Parsec Virtual Display Adapter Ryzen 5 3400G,"2,149",397,NA,NA,Desktop
Parsec Virtual Display Adapter Ryzen 5 3500U,"1,598",423,NA,NA,Desktop
Parsec Virtual Display Adapter Ryzen 5 5600GT,"2,712",799,NA,NA,Desktop
Parsec Virtual Display Adapter Ryzen 5 5600H,"2,109",306,NA,NA,Desktop
Parsec Virtual Display Adapter Ryzen 7 5825U,"2,202",520,NA,NA,Desktop
PCI GDIHOOK5,"1,703",616,NA,NA,Unknown
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C2 Ryzen,"1,681",576,NA,NA,Unknown
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C3 Ryzen,"1,654",583,NA,NA,Unknown
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C6 Ryzen,"1,769",582,NA,NA,Unknown
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,"4,339",621,NA,NA,Unknown
PHDGD Ivy 4,374,285,NA,NA,Unknown
PHDGD Ivy 5,445,497,NA,NA,Unknown
PHDGD Quantic C3,117,351,NA,NA,Unknown
PHDGD Sapphire GR for Mobile Intel 965,26,243,NA,NA,Unknown
PHDGD Solo 1.2.0 x86,11,169,NA,NA,Unknown
PHDGD Solo 2 x64,20,183,NA,NA,Unknown
Q12U-1,"5,164",600,NA,NA,Unknown
Quadro 1000M,554,198,45,2048 MB,Workstation
Quadro 1100M,755,734,NA,NA,Unknown
Quadro 2000,946,306,62,1024 MB,Workstation
Quadro 2000 D,"1,239",594,NA,NA,Unknown
Quadro 2000D,980,327,NA,NA,Unknown
Quadro 2000M,758,223,55,2048 MB,Workstation
Quadro 2100M,"1,100",765,NA,NA,Unknown
Quadro 280 NVS PCIe,6,185,NA,NA,Unknown
Quadro 3000M,"1,003",314,75,2048 MB,Workstation
Quadro 400,148,59,32,512 MB,Workstation
Quadro 4000,"1,473",387,142,2048 MB,Workstation
Quadro 4000M,"1,287",271,100,2048 MB,Workstation
Quadro 410,428,217,38,512 MB,Workstation
Quadro 5000,"1,963",396,152,2560 MB,Workstation
Quadro 5000M,"2,060",426,100,2048 MB,Workstation
Quadro 500M,571,365,35,1024 MB,Workstation
Quadro 5010M,"1,691",297,100,4096 MB,Workstation
Quadro 600,521,233,40,1024 MB,Workstation
Quadro 6000,"2,692",456,204,6144 MB,Workstation
Quadro 7000,"3,505",397,204,6144 MB,Workstation
Quadro CX,947,454,NA,NA,Unknown
Quadro FX 1000,34,266,NA,128 MB,Workstation
Quadro FX 1100,36,178,NA,256 MB,Workstation
Quadro FX 1300,34,276,55,128 MB,Workstation
Quadro FX 1400,124,152,70,128 MB,Workstation
Quadro FX 1500,170,74,65,256 MB,Workstation
Quadro FX 1500M,171,275,45,512 MB,Workstation
Quadro FX 1600M,195,53,50,512 MB,Workstation
Quadro FX 1700,212,32,42,512 MB,Workstation
Quadro FX 1700M,173,135,50,512 MB,Workstation
Quadro FX 1800,395,54,59,768 MB,Workstation
Quadro FX 1800M,486,63,45,1024 MB,Workstation
Quadro FX 2000,18,146,NA,128 MB,Workstation
Quadro FX 2500M,218,272,45,512 MB,Workstation
Quadro FX 2700,543,465,NA,NA,Unknown
Quadro FX 2700M,367,38,65,512 MB,Workstation
Quadro FX 2800M,415,39,75,1024 MB,Workstation
Quadro FX 3000,69,178,NA,256 MB,Workstation
Quadro FX 3400/4400,104,239,101,256 MB,Workstation
Quadro FX 3450,149,235,83,256 MB,Workstation
Quadro FX 3450/4000 SDI,206,61,NA,256 MB,Workstation
Quadro FX 350,86,378,21,128 MB,Workstation
Quadro FX 3500,265,66,80,256 MB,Workstation
Quadro FX 3500M,306,309,45,512 MB,Workstation
Quadro FX 350M,45,132,15,256 MB,Workstation
Quadro FX 3600M,467,365,70,512 MB,Workstation
Quadro FX 360M,87,308,17,256 MB,Workstation
Quadro FX 370,84,385,35,256 MB,Workstation
Quadro FX 370 Low Profile,103,492,NA,NA,Unknown
Quadro FX 370 LP,108,481,25,256 MB,Workstation
Quadro FX 3700,372,73,78,512 MB,Workstation
Quadro FX 3700M,451,76,75,1024 MB,Workstation
Quadro FX 370M,93,334,20,256 MB,Workstation
Quadro FX 380,206,60,34,256 MB,Workstation
Quadro FX 380 LP,145,71,28,512 MB,Workstation
Quadro FX 3800,824,46,108,1024 MB,Workstation
Quadro FX 3800M,556,33,100,1024 MB,Workstation
Quadro FX 380M,121,106,25,512 MB,Workstation
Quadro FX 4000,101,78,142,256 MB,Workstation
Quadro FX 4500,227,120,109,512 MB,Workstation
Quadro FX 4500 X2,236,653,NA,NA,Unknown
Quadro FX 4600,402,96,134,768 MB,Workstation
Quadro FX 4700 X2,676,509,NA,NA,Unknown
Quadro FX 4800,"1,008",53,150,1536 MB,Workstation
Quadro FX 500/600 PCI,14,203,NA,NA,Unknown
Quadro FX 500/FX 600,8,151,NA,NA,Unknown
Quadro FX 540,81,294,35,128 MB,Workstation
Quadro FX 550,64,325,25,128 MB,Workstation
Quadro FX 5500,242,394,96,1024 MB,Workstation
Quadro FX 560,114,360,30,128 MB,Workstation
Quadro FX 5600,525,109,NA,NA,Unknown
Quadro FX 570,258,53,38,256 MB,Workstation
Quadro FX 570M,99,70,45,512 MB,Workstation
Quadro FX 580,188,39,40,512 MB,Workstation
Quadro FX 5800,"1,211",76,189,4096 MB,Workstation
Quadro FX 770M,213,35,35,512 MB,Workstation
Quadro FX 880M,237,52,35,1024 MB,Workstation
Quadro FX Go1400,102,223,NA,NA,Unknown
Quadro GP100,"13,736",734,235,16384 MB,Workstation
Quadro GV100,"19,126",834,250,32768 MB,Workstation
Quadro K1000M,754,247,45,2048 MB,Workstation
Quadro K1100M,"1,088",253,45,2048 MB,Workstation
Quadro K1200,"2,960",574,45,4096 MB,Workstation
Quadro K2000,"1,583",384,51,2048 MB,Workstation
Quadro K2000D,"1,607",404,51,2048 MB,Workstation
Quadro K2000M,999,255,55,2048 MB,Workstation
Quadro K2100M,"1,372",285,55,2048 MB,Workstation
Quadro K2200,"3,582",546,68,4096 MB,Workstation
Quadro K2200M,"3,534",360,NA,NA,Unknown
Quadro K3000M,"1,619",335,75,2048 MB,Workstation
Quadro K3100M,"2,271",324,75,4096 MB,Workstation
Quadro K4000,"2,715",429,80,3072 MB,Workstation
Quadro K4000M,"2,050",301,100,4096 MB,Workstation
Quadro K4100M,"2,797",340,100,4096 MB,Workstation
Quadro K420,724,291,41,1024 MB,Workstation
Quadro K4200,"4,334",500,105,4096 MB,Workstation
Quadro K5000,"3,995",456,122,4096 MB,Workstation
Quadro K5000M,"2,805",358,100,4096 MB,Workstation
Quadro K500M,480,184,NA,NA,Unknown
Quadro K5100M,"3,264",338,100,8192 MB,Workstation
Quadro K510M,641,441,30,1024 MB,Workstation
Quadro K5200,"6,159",561,150,8192 MB,Workstation
Quadro K600,721,281,41,1024 MB,Workstation
Quadro K6000,"8,007",556,225,12288 MB,Workstation
Quadro K610M,713,216,30,1024 MB,Workstation
Quadro K620,"2,211",483,45,2048 MB,Workstation
Quadro K620M,"1,171",157,NA,NA,Unknown
Quadro M1000M,"2,836",309,40,4096 MB,"Mobile, Workstation"
Quadro M1200,"3,208",305,45,4096 MB,"Mobile, Workstation"
Quadro M2000,"4,030",567,75,4096 MB,Workstation
Quadro M2000M,"3,406",333,55,4096 MB,"Mobile, Workstation"
Quadro M2200,"4,292",375,55,4096 MB,"Mobile, Workstation"
Quadro M3000M,"5,568",402,75,4096 MB,"Mobile, Workstation"
Quadro M4000,"6,669",667,120,8192 MB,Workstation
Quadro M4000M,"6,095",407,100,4096 MB,"Mobile, Workstation"
Quadro M5000,"9,412",658,150,8192 MB,Workstation
Quadro M5000M,"7,072",473,100,8192 MB,"Mobile, Workstation"
Quadro M500M,"1,176",179,30,2048 MB,"Mobile, Workstation"
Quadro M520,"1,915",225,25,2048 MB,"Mobile, Workstation"
Quadro M5500,"7,915",698,150,8192 MB,"Mobile, Workstation"
Quadro M6000,"11,767",728,250,12288 MB,Workstation
Quadro M6000 24GB,"11,566",707,250,24576 MB,Workstation
Quadro M600M,"2,240",283,30,2048 MB,"Mobile, Workstation"
Quadro M620,"2,774",388,30,2048 MB,"Mobile, Workstation"
Quadro NVS 110M,48,236,10,512 MB,Workstation
Quadro NVS 120M,47,274,10,512 MB,Workstation
Quadro NVS 130M,97,190,10,256 MB,Workstation
Quadro NVS 135M,50,45,10,256 MB,Workstation
Quadro NVS 140M,79,46,10,512 MB,Workstation
Quadro NVS 150M,70,168,10,256 MB,Workstation
Quadro NVS 160M,146,24,12,256 MB,Workstation
Quadro NVS 210S,24,265,NA,NA,Unknown
Quadro NVS 210S / GeForce 6150LE,21,272,NA,NA,Unknown
Quadro NVS 280 PCI,8,261,NA,NA,Unknown
Quadro NVS 280 SD,2,119,NA,NA,Unknown
Quadro NVS 285,44,67,NA,NA,Unknown
Quadro NVS 285 128MB,38,313,NA,NA,Unknown
Quadro NVS 290,228,47,NA,NA,Unknown
Quadro NVS 295,114,41,23,256 MB,Workstation
Quadro NVS 320M,208,84,20,512 MB,Workstation
Quadro NVS 420,137,103,NA,NA,Unknown
Quadro NVS 440,38,358,NA,NA,Unknown
Quadro NVS 450,67,89,NA,NA,Unknown
Quadro NVS 510M,238,111,45,1024 MB,Workstation
Quadro NVS 55/280 PCI,6,116,NA,NA,Unknown
Quadro P1000,"4,494",579,47,4096 MB,Workstation
Quadro P2000,"6,973",622,75,5120 MB,Workstation
Quadro P2000 with Max-Q Design,"5,340",439,NA,NA,Unknown
Quadro P2200,"9,388",871,75,5120 MB,Workstation
Quadro P3000,"6,418",419,75,6144 MB,"Mobile, Workstation"
Quadro P3200,"8,535",439,NA,NA,Unknown
Quadro P3200 with Max-Q Design,"9,117",522,NA,NA,Unknown
Quadro P400,"1,661",429,30,2048 MB,Workstation
Quadro P4000,"11,442",781,105,8192 MB,Workstation
Quadro P4000 with Max-Q Design,"9,083",700,80,16384 MB,Mobile
Quadro P4200,"10,380",454,100,8192 MB,Workstation
Quadro P4200 with Max-Q Design,"11,562",589,NA,NA,Workstation
Quadro P500,"1,646",234,NA,NA,Unknown
Quadro P5000,"12,712",685,180,16384 MB,Workstation
